id,name,price,unit,category,top_category,subcategory,category_url,image_url
p00076,RENEE Makeup Fix Setting Spray,345,,Biscuits Snacks Chocolates,Bakery & Biscuits,Biscuits Cookies,https://blinkit.com/cn/biscuits-snacks-chocolates/biscuits-cookies/cid/13/935,
p00077,Faces Canada Shimmer Makeup Fixer,289,,Biscuits Snacks Chocolates,Bakery & Biscuits,Biscuits Cookies,https://blinkit.com/cn/biscuits-snacks-chocolates/biscuits-cookies/cid/13/935,
p00078,Mila Beauté Natural Finish Makeup Fixer,200,,Biscuits Snacks Chocolates,Bakery & Biscuits,Biscuits Cookies,https://blinkit.com/cn/biscuits-snacks-chocolates/biscuits-cookies/cid/13/935,
p00079,Makeup Revolution Fix & Glow Makeup Fixer (Shade-0),1050,,Biscuits Snacks Chocolates,Bakery & Biscuits,Biscuits Cookies,https://blinkit.com/cn/biscuits-snacks-chocolates/biscuits-cookies/cid/13/935,
p00080,Daily life FOREVER52 Makeup Fixer Spray (Transparent- KMF001),1162,,Biscuits Snacks Chocolates,Bakery & Biscuits,Biscuits Cookies,https://blinkit.com/cn/biscuits-snacks-chocolates/biscuits-cookies/cid/13/935,
p00081,Faces Canada Ultime Pro Matte Makeup Fixer,289,,Biscuits Snacks Chocolates,Bakery & Biscuits,Biscuits Cookies,https://blinkit.com/cn/biscuits-snacks-chocolates/biscuits-cookies/cid/13/935,
p00082,Glam21 Wow Wow Makeup Fixer Spray,199,,Biscuits Snacks Chocolates,Bakery & Biscuits,Biscuits Cookies,https://blinkit.com/cn/biscuits-snacks-chocolates/biscuits-cookies/cid/13/935,
p00083,Just Herbs Long Stay Makeup Fixer,545,,Biscuits Snacks Chocolates,Bakery & Biscuits,Biscuits Cookies,https://blinkit.com/cn/biscuits-snacks-chocolates/biscuits-cookies/cid/13/935,
p00084,Swiss Beauty Glow Up Makeup Fixer,333,,Biscuits Snacks Chocolates,Bakery & Biscuits,Biscuits Cookies,https://blinkit.com/cn/biscuits-snacks-chocolates/biscuits-cookies/cid/13/935,
p00085,Sugar Pop Makeup Setting Spray with SPF 15,270,,Biscuits Snacks Chocolates,Bakery & Biscuits,Biscuits Cookies,https://blinkit.com/cn/biscuits-snacks-chocolates/biscuits-cookies/cid/13/935,
p00086,Hilary Rhoda Shimmer Stay Makeup Fixer (Gold 01),139,,Biscuits Snacks Chocolates,Bakery & Biscuits,Biscuits Cookies,https://blinkit.com/cn/biscuits-snacks-chocolates/biscuits-cookies/cid/13/935,
p00087,Tata Himalayan Pink Rock Salt (Sendha Namak),58,,Grocery Staples,Grocery Staples,Salt Sugar,https://blinkit.com/cn/grocery-staples/salt-sugar/cid/16/933,
p00088,Tata Himalayan Pink Rock Salt (Sendha Namak) (Sendha Namak),105,,Grocery Staples,Grocery Staples,Salt Sugar,https://blinkit.com/cn/grocery-staples/salt-sugar/cid/16/933,
p00089,Tata Salt (Vacuum Evaporated Iodised),29,,Grocery Staples,Grocery Staples,Salt Sugar,https://blinkit.com/cn/grocery-staples/salt-sugar/cid/16/933,
p00090,Whole Farm Grocery Sugar (Packet),56,,Grocery Staples,Grocery Staples,Salt Sugar,https://blinkit.com/cn/grocery-staples/salt-sugar/cid/16/933,
p00091,Uttam Sugar Sulphurless Sugar,58,,Grocery Staples,Grocery Staples,Salt Sugar,https://blinkit.com/cn/grocery-staples/salt-sugar/cid/16/933,
p00092,Aashirvaad Himalayan Pink Salt /Sendha Namak,73,,Grocery Staples,Grocery Staples,Salt Sugar,https://blinkit.com/cn/grocery-staples/salt-sugar/cid/16/933,
p00093,Fortune Sulphurless Sugar,58,,Grocery Staples,Grocery Staples,Salt Sugar,https://blinkit.com/cn/grocery-staples/salt-sugar/cid/16/933,
p00094,Tata Salt Lite (15% Less Sodium),54,,Grocery Staples,Grocery Staples,Salt Sugar,https://blinkit.com/cn/grocery-staples/salt-sugar/cid/16/933,
p00095,Dhampur Green Desi Khand,99,,Grocery Staples,Grocery Staples,Salt Sugar,https://blinkit.com/cn/grocery-staples/salt-sugar/cid/16/933,
p00096,Whole Farm Grocery Sugar (5 kg),273,,Grocery Staples,Grocery Staples,Salt Sugar,https://blinkit.com/cn/grocery-staples/salt-sugar/cid/16/933,
p00097,Mawana Premium Crystal Sulphurless Sugar,66,,Grocery Staples,Grocery Staples,Salt Sugar,https://blinkit.com/cn/grocery-staples/salt-sugar/cid/16/933,
p00098,Whole Farm Premium Diamond Mishri,15,,Grocery Staples,Grocery Staples,Salt Sugar,https://blinkit.com/cn/grocery-staples/salt-sugar/cid/16/933,
p00099,Dhampure White Crystal Sulphurless Sugar,293,,Grocery Staples,Grocery Staples,Salt Sugar,https://blinkit.com/cn/grocery-staples/salt-sugar/cid/16/933,
p00100,Catch Sprinklers - Black Salt (Kala Namak),47,,Grocery Staples,Grocery Staples,Salt Sugar,https://blinkit.com/cn/grocery-staples/salt-sugar/cid/16/933,
p00101,Whole Farm Premium Jaggery,55,,Grocery Staples,Grocery Staples,Salt Sugar,https://blinkit.com/cn/grocery-staples/salt-sugar/cid/16/933,
p00102,Whole Farm Premium Jaggery Powder,59,,Grocery Staples,Grocery Staples,Salt Sugar,https://blinkit.com/cn/grocery-staples/salt-sugar/cid/16/933,
p00103,Madhur Pure & Hygienic Sulphurless Sugar,64,,Grocery Staples,Grocery Staples,Salt Sugar,https://blinkit.com/cn/grocery-staples/salt-sugar/cid/16/933,
p00104,Whole Farm Premium Powder Black Salt (Kala Namak),22,,Grocery Staples,Grocery Staples,Salt Sugar,https://blinkit.com/cn/grocery-staples/salt-sugar/cid/16/933,
p00105,Dhampur Green Desi Khand (Brown),120,,Grocery Staples,Grocery Staples,Salt Sugar,https://blinkit.com/cn/grocery-staples/salt-sugar/cid/16/933,
p00106,Mawana Premium Crystal Sulphurless Sugar - 5 kg,315,,Grocery Staples,Grocery Staples,Salt Sugar,https://blinkit.com/cn/grocery-staples/salt-sugar/cid/16/933,
p00107,Whole Farm Premium Black Salt (Kala Namak),15,,Grocery Staples,Grocery Staples,Salt Sugar,https://blinkit.com/cn/grocery-staples/salt-sugar/cid/16/933,
p00108,"Puro Healthy Salt, Rock Salt",99,,Grocery Staples,Grocery Staples,Salt Sugar,https://blinkit.com/cn/grocery-staples/salt-sugar/cid/16/933,
p00109,Whole Farm Premium Sugar Powder,43,,Grocery Staples,Grocery Staples,Salt Sugar,https://blinkit.com/cn/grocery-staples/salt-sugar/cid/16/933,
p00110,TMI Colman Jaggery,43,,Grocery Staples,Grocery Staples,Salt Sugar,https://blinkit.com/cn/grocery-staples/salt-sugar/cid/16/933,
p00111,Uttam Sugar Sulphurfree Sugar Powder (Bura),50,,Grocery Staples,Grocery Staples,Salt Sugar,https://blinkit.com/cn/grocery-staples/salt-sugar/cid/16/933,
p00112,Madhur Pure & Hygienic Sulphurless Sugar (M30),310,,Grocery Staples,Grocery Staples,Salt Sugar,https://blinkit.com/cn/grocery-staples/salt-sugar/cid/16/933,
p00113,Catch Black Salt,28,,Grocery Staples,Grocery Staples,Salt Sugar,https://blinkit.com/cn/grocery-staples/salt-sugar/cid/16/933,
p00114,"Tata Plus Iron Health, Double Fortified Salt",35,,Grocery Staples,Grocery Staples,Salt Sugar,https://blinkit.com/cn/grocery-staples/salt-sugar/cid/16/933,
p00115,Dhampure Mishri,26,,Grocery Staples,Grocery Staples,Salt Sugar,https://blinkit.com/cn/grocery-staples/salt-sugar/cid/16/933,
