name,price,unit,category,subcategory,category_url,image_url
Faces Canada Shimmer Makeup Fixer,289,,Biscuits Snacks Chocolates,Biscuits Cookies,https://blinkit.com/cn/biscuits-snacks-chocolates/biscuits-cookies/cid/13/935,
Mila Beauté Natural Finish Makeup Fixer,200,,Biscuits Snacks Chocolates,Biscuits Cookies,https://blinkit.com/cn/biscuits-snacks-chocolates/biscuits-cookies/cid/13/935,
Makeup Revolution Fix & Glow Makeup Fixer (Shade-0),1050,,Biscuits Snacks Chocolates,Biscuits Cookies,https://blinkit.com/cn/biscuits-snacks-chocolates/biscuits-cookies/cid/13/935,
Daily life FOREVER52 Makeup Fixer Spray (Transparent- KMF001),1162,,Biscuits Snacks Chocolates,Biscuits Cookies,https://blinkit.com/cn/biscuits-snacks-chocolates/biscuits-cookies/cid/13/935,
Faces Canada Ultime Pro Matte Makeup Fixer,289,,Biscuits Snacks Chocolates,Biscuits Cookies,https://blinkit.com/cn/biscuits-snacks-chocolates/biscuits-cookies/cid/13/935,
Glam21 Wow Wow Makeup Fixer Spray,199,,Biscuits Snacks Chocolates,Biscuits Cookies,https://blinkit.com/cn/biscuits-snacks-chocolates/biscuits-cookies/cid/13/935,
Just Herbs Long Stay Makeup Fixer,545,,Biscuits Snacks Chocolates,Biscuits Cookies,https://blinkit.com/cn/biscuits-snacks-chocolates/biscuits-cookies/cid/13/935,
Swiss Beauty Glow Up Makeup Fixer,333,,Biscuits Snacks Chocolates,Biscuits Cookies,https://blinkit.com/cn/biscuits-snacks-chocolates/biscuits-cookies/cid/13/935,
Sugar Pop Makeup Setting Spray with SPF 15,270,,Biscuits Snacks Chocolates,Biscuits Cookies,https://blinkit.com/cn/biscuits-snacks-chocolates/biscuits-cookies/cid/13/935,
Hilary Rhoda Shimmer Stay Makeup Fixer (Gold 01),139,,Biscuits Snacks Chocolates,Biscuits Cookies,https://blinkit.com/cn/biscuits-snacks-chocolates/biscuits-cookies/cid/13/935,
